Teams,Points,Actual_Ranking,Massey_Rating,Massey_Scaled_Rating,Massey_Ranking,Keener_Rating,Keener_Scaled_Rating,Keener_Ranking
Manchester City,93,1,1.8250000000000004,100.0,1,0.07598393614928299,95.5257013980758,2
Liverpool,92,2,1.7000000000000006,96.26865671641792,2,0.07835404345902852,100.0,1
Chelsea,74,3,1.0750000000000002,77.61194029850745,3,0.06572209440617598,76.15335316069542,3
Tottenham Hotspur,71,4,0.7250000000000002,67.1641791044776,4,0.06457655236277413,73.99079404695274,4
Arsenal,69,5,0.3250000000000004,55.223880597014926,5,0.05651856646933346,58.77889420212357,5
Manchester United,58,6,3.5403455644731277e-16,45.522388059701484,9,0.05021582579684714,46.880553707901754,10
West Ham United,56,7,0.22500000000000042,52.23880597014925,6,0.051911237664626166,50.08115940136457,7
Leicester City,52,8,0.07500000000000032,47.76119402985074,8,0.04809415008105939,42.87524531960565,11
Brighton & Hove Albion,51,9,-0.04999999999999961,44.02985074626865,10,0.05158205345868622,49.45972406535408,8
Wolverhampton Wanderers,51,10,-0.12499999999999961,41.7910447761194,12,0.046079277658096794,39.071560639149084,13
Newcastle United,49,11,-0.4499999999999996,32.089552238805965,14,0.044533717072603785,36.15384483006912,14
Crystal Palace,48,12,0.10000000000000027,48.50746268656716,7,0.05258060511807777,51.344794110576814,6
Brentford,46,13,-0.19999999999999962,39.55223880597014,13,0.04752047329340134,41.7922558539302,12
Aston Villa,45,14,-0.049999999999999635,44.02985074626865,11,0.050360427640288356,47.15353367943483,9
Southampton,40,15,-0.5999999999999995,27.61194029850746,17,0.0418209781139303,31.032724752395808,15
Everton,39,16,-0.5749999999999997,28.35820895522387,16,0.040281628509497576,28.12673405962613,16
Leeds United,38,17,-0.9249999999999995,17.910447761194025,18,0.03796707626152636,23.75731253824783,18
Burnley,35,18,-0.4749999999999998,31.34328358208954,15,0.039339406468504604,26.348003306220008,17
Watford,23,19,-1.0749999999999997,13.432835820895512,19,0.031175501003927842,10.93614804709292,19
Norwich City,22,20,-1.5249999999999992,0.0,20,0.025382449012331394,0.0,20
