"","AFC Bournemouth","Arsenal","Aston Villa","Brighton & Hove Albion","Burnley","Chelsea","Crystal Palace","Everton","Leicester City","Liverpool","Manchester City","Manchester United","Newcastle United","Norwich City","Sheffield United","Southampton","Tottenham Hotspur","Watford","West Ham United","Wolverhampton Wanderers"
"AFC Bournemouth","",="1-1",="2-1",="3-1",="0-1",="2-2",="0-2",="3-1",="4-1",="0-3",="1-3",="1-0",="1-4",="0-0",="1-1",="0-2",="0-0",="0-3",="2-2",="1-2"
"Arsenal",="1-0","",="3-2",="1-2",="2-1",="1-2",="2-2",="3-2",="1-1",="2-1",="0-3",="2-0",="4-0",="4-0",="1-1",="2-2",="2-2",="3-2",="1-0",="1-1"
"Aston Villa",="1-2",="1-0","",="2-1",="2-2",="1-2",="2-0",="2-0",="1-4",="1-2",="1-6",="0-3",="2-0",="1-0",="0-0",="1-3",="2-3",="2-1",="0-0",="0-1"
"Brighton & Hove Albion",="2-0",="2-1",="1-1","",="1-1",="1-1",="0-1",="3-2",="0-2",="1-3",="0-5",="0-3",="0-0",="2-0",="0-1",="0-2",="3-0",="1-1",="1-1",="2-2"
"Burnley",="3-0",="0-0",="1-2",="1-2","",="2-4",="0-2",="1-0",="2-1",="0-3",="1-4",="0-2",="1-0",="2-0",="1-1",="3-0",="1-1",="1-0",="3-0",="1-1"
"Chelsea",="0-1",="2-2",="2-1",="2-0",="3-0","",="2-0",="4-0",="1-1",="1-2",="2-1",="0-2",="1-0",="1-0",="2-2",="0-2",="2-1",="3-0",="0-1",="2-0"
"Crystal Palace",="1-0",="1-1",="1-0",="1-1",="0-1",="2-3","",="0-0",="0-2",="1-2",="0-2",="0-2",="1-0",="2-0",="0-1",="0-2",="1-1",="1-0",="2-1",="1-1"
"Everton",="1-3",="0-0",="1-1",="1-0",="1-0",="3-1",="3-1","",="2-1",="0-0",="1-3",="1-1",="2-2",="0-2",="0-2",="1-1",="1-1",="1-0",="2-0",="3-2"
"Leicester City",="3-1",="2-0",="4-0",="0-0",="2-1",="2-2",="3-0",="2-1","",="0-4",="0-1",="0-2",="5-0",="1-1",="2-0",="1-2",="2-1",="2-0",="4-1",="0-0"
"Liverpool",="2-1",="3-1",="2-0",="2-1",="1-1",="5-3",="4-0",="5-2",="2-1","",="3-1",="2-0",="3-1",="4-1",="2-0",="4-0",="2-1",="2-0",="3-2",="1-0"
"Manchester City",="2-1",="3-0",="3-0",="4-0",="5-0",="2-1",="2-2",="2-1",="3-1",="4-0","",="1-2",="5-0",="5-0",="2-0",="2-1",="2-2",="8-0",="2-0",="0-2"
"Manchester United",="5-2",="1-1",="2-2",="3-1",="0-2",="4-0",="1-2",="1-1",="1-0",="1-1",="2-0","",="4-1",="4-0",="3-0",="2-2",="2-1",="3-0",="1-1",="0-0"
"Newcastle United",="2-1",="0-1",="1-1",="0-0",="0-0",="1-0",="1-0",="1-2",="0-3",="1-3",="2-2",="1-0","",="0-0",="3-0",="2-1",="1-3",="1-1",="2-2",="1-1"
"Norwich City",="1-0",="2-2",="1-5",="0-1",="0-2",="2-3",="1-1",="0-1",="1-0",="0-1",="3-2",="1-3",="3-1","",="1-2",="0-3",="2-2",="0-2",="0-4",="1-2"
"Sheffield United",="2-1",="1-0",="2-0",="1-1",="3-0",="3-0",="1-0",="0-1",="1-2",="0-1",="0-1",="3-3",="0-2",="1-0","",="0-1",="3-1",="1-1",="1-0",="1-0"
"Southampton",="1-3",="0-2",="2-0",="1-1",="1-2",="1-4",="1-1",="1-2",="0-9",="1-2",="1-0",="1-1",="0-1",="2-1",="3-1","",="1-0",="2-1",="0-1",="2-3"
"Tottenham Hotspur",="3-2",="2-1",="3-1",="2-1",="5-0",="0-2",="4-0",="1-0",="3-0",="0-1",="2-0",="1-1",="0-1",="2-1",="1-1",="2-1","",="1-1",="2-0",="2-3"
"Watford",="0-0",="2-2",="3-0",="0-3",="0-3",="1-2",="0-0",="2-3",="1-1",="3-0",="0-4",="2-0",="2-1",="2-1",="0-0",="1-3",="0-0","",="1-3",="2-1"
"West Ham United",="4-0",="1-3",="1-1",="3-3",="0-1",="3-2",="1-2",="1-1",="1-2",="0-2",="0-5",="2-0",="2-3",="2-0",="1-1",="3-1",="2-3",="3-1","",="0-2"
"Wolverhampton Wanderers",="1-0",="0-2",="2-1",="0-0",="1-1",="2-5",="2-0",="3-0",="0-0",="1-2",="3-2",="1-1",="1-1",="3-0",="1-1",="1-1",="1-2",="2-0",="2-0",""
