"","AFC Bournemouth","Arsenal","Aston Villa","Brentford","Brighton & Hove Albion","Burnley","Chelsea","Crystal Palace","Everton","Fulham","Liverpool","Luton Town","Manchester City","Manchester United","Newcastle United","Nottingham Forest","Sheffield United","Tottenham Hotspur","West Ham United","Wolverhampton Wanderers"
"AFC Bournemouth","",="0-4",="2-2",="1-2",="3-0",="2-1",="0-0",="1-0",="2-1",="3-0",="0-4",="4-3",="0-1",="2-2",="2-0",="1-1",="2-2",="0-2",="1-1",="1-2"
"Arsenal",="3-0","",="0-2",="2-1",="2-0",="3-1",="5-0",="5-0",="2-1",="2-2",="3-1",="2-0",="1-0",="3-1",="4-1",="2-1",="5-0",="2-2",="0-2",="2-1"
"Aston Villa",="3-1",="1-0","",="3-3",="6-1",="3-2",="2-2",="3-1",="4-0",="3-1",="3-3",="3-1",="1-0",="1-2",="1-3",="4-2",="1-1",="0-4",="4-1",="2-0"
"Brentford",="2-2",="0-1",="1-2","",="0-0",="3-0",="2-2",="1-1",="1-3",="0-0",="1-4",="3-1",="1-3",="1-1",="2-4",="3-2",="2-0",="2-2",="3-2",="1-4"
"Brighton & Hove Albion",="3-1",="0-3",="1-0",="2-1","",="1-1",="1-2",="4-1",="1-1",="1-1",="2-2",="4-1",="0-4",="0-2",="3-1",="1-0",="1-1",="4-2",="1-3",="0-0"
"Burnley",="0-2",="0-5",="1-3",="2-1",="1-1","",="1-4",="0-2",="0-2",="2-2",="0-2",="1-1",="0-3",="0-1",="1-4",="1-2",="5-0",="2-5",="1-2",="1-1"
"Chelsea",="2-1",="2-2",="0-1",="0-2",="3-2",="2-2","",="2-1",="6-0",="1-0",="1-1",="3-0",="4-4",="4-3",="3-2",="0-1",="2-0",="2-0",="5-0",="2-4"
"Crystal Palace",="0-2",="0-1",="5-0",="3-1",="1-1",="3-0",="1-3","",="2-3",="0-0",="1-2",="1-1",="2-4",="4-0",="2-0",="0-0",="3-2",="1-2",="5-2",="3-2"
"Everton",="3-0",="0-1",="0-0",="1-0",="1-1",="1-0",="2-0",="1-1","",="0-1",="2-0",="1-2",="1-3",="0-3",="3-0",="2-0",="1-0",="2-2",="1-3",="0-1"
"Fulham",="3-1",="2-1",="1-2",="0-3",="3-0",="0-2",="0-2",="1-1",="0-0","",="1-3",="1-0",="0-4",="0-1",="0-1",="5-0",="3-1",="3-0",="5-0",="3-2"
"Liverpool",="3-1",="1-1",="3-0",="3-0",="2-1",="3-1",="4-1",="0-1",="2-0",="4-3","",="4-1",="1-1",="0-0",="4-2",="3-0",="3-1",="4-2",="3-1",="2-0"
"Luton Town",="2-1",="3-4",="2-3",="1-5",="4-0",="1-2",="2-3",="2-1",="1-1",="2-4",="1-1","",="1-2",="1-2",="1-0",="1-1",="1-3",="0-1",="1-2",="1-1"
"Manchester City",="6-1",="0-0",="4-1",="1-0",="2-1",="3-1",="1-1",="2-2",="2-0",="5-1",="1-1",="5-1","",="3-1",="1-0",="2-0",="2-0",="3-3",="3-1",="5-1"
"Manchester United",="0-3",="0-1",="3-2",="2-1",="1-3",="1-1",="2-1",="0-1",="2-0",="1-2",="2-2",="1-0",="0-3","",="3-2",="3-2",="4-2",="2-2",="3-0",="1-0"
"Newcastle United",="2-2",="1-0",="5-1",="1-0",="1-1",="2-0",="4-1",="4-0",="1-1",="3-0",="1-2",="4-4",="2-3",="1-0","",="1-3",="5-1",="4-0",="4-3",="3-0"
"Nottingham Forest",="2-3",="1-2",="2-0",="1-1",="2-3",="1-1",="2-3",="1-1",="0-1",="3-1",="0-1",="2-2",="0-2",="2-1",="2-3","",="2-1",="0-2",="2-0",="2-2"
"Sheffield United",="1-3",="0-6",="0-5",="1-0",="0-5",="1-4",="2-2",="0-1",="2-2",="3-3",="0-2",="2-3",="1-2",="1-2",="0-8",="1-3","",="0-3",="2-2",="2-1"
"Tottenham Hotspur",="3-1",="2-3",="1-2",="3-2",="2-1",="2-1",="1-4",="3-1",="2-1",="2-0",="2-1",="2-1",="0-2",="2-0",="4-1",="3-1",="2-1","",="1-2",="1-2"
"West Ham United",="1-1",="0-6",="1-1",="4-2",="0-0",="2-2",="3-1",="1-1",="0-1",="0-2",="2-2",="3-1",="1-3",="2-0",="2-2",="3-2",="2-0",="1-1","",="3-0"
"Wolverhampton Wanderers",="0-1",="0-2",="1-1",="0-2",="1-4",="1-0",="2-1",="1-3",="3-0",="2-1",="1-3",="2-1",="2-1",="3-4",="2-2",="1-1",="1-0",="2-1",="1-2",""
