Teams,Points,Actual_Ranking,Massey_Rating,Massey_Scaled_Rating,Massey_Ranking,Keener_Rating,Keener_Scaled_Rating,Keener_Ranking
Manchester City,91,1,1.5500000000000003,91.0,2,0.07569977855212581,88.35303683457116,2
Arsenal,89,2,1.5500000000000005,91.0,1,0.07759175674508556,91.0,1
Liverpool,82,3,1.1250000000000002,81.26717557251908,3,0.07088541915449843,81.61753003112307,3
Aston Villa,68,4,0.3750000000000002,64.09160305343511,5,0.05997211679592717,66.34932585000837,4
Tottenham Hotspur,66,5,0.3250000000000003,62.94656488549617,7,0.05483122424168152,59.15698437421785,7
Chelsea,63,6,0.35000000000000026,63.51908396946564,6,0.057185894496133885,62.45127468552217,5
Newcastle United,60,7,0.5750000000000003,68.67175572519083,4,0.055744154120794885,60.434214614832946,6
Manchester United,60,8,-0.024999999999999713,54.931297709923655,9,0.05158563854611256,54.61626301792443,8
West Ham United,52,9,-0.34999999999999953,47.488549618320604,15,0.04506607554728001,45.495099160530174,13
Crystal Palace,49,10,-0.02499999999999968,54.931297709923655,8,0.04815727761072221,49.81983082460342,10
Brighton & Hove Albion,48,11,-0.17499999999999968,51.49618320610686,11,0.0463491708638308,47.290207610131866,11
AFC Bournemouth,48,12,-0.32499999999999973,48.061068702290065,14,0.04612147398463859,46.97164936546097,12
Fulham,47,13,-0.14999999999999966,52.06870229007633,10,0.04877570348885617,50.68503663197469,9
Wolverhampton Wanderers,46,14,-0.37499999999999967,46.91603053435114,16,0.04381635867547711,43.74668866658977,15
Everton,40,15,-0.2749999999999998,49.206106870229,13,0.044328589939536714,44.46332340011477,14
Brentford,39,16,-0.2249999999999997,50.35114503816793,12,0.04342584239435006,43.20033870574455,16
Nottingham Forest,32,17,-0.4499999999999997,45.19847328244274,17,0.040032217552760437,38.45250388058749,17
Luton Town,26,18,-0.8249999999999997,36.610687022900755,18,0.03668538174503514,33.770129032530456,18
Burnley,24,19,-0.9249999999999997,34.32061068702289,19,0.029762154859439754,24.08422111865024,19
Sheffield United,16,20,-1.7249999999999994,16.0,20,0.02398377068571329,16.0,20
